pair,index,country_code_alpha2_A,country_code_alpha2_B,Censored_Category_Similarity,Blocking_Proportion_Similarity,Overall_Similarity,country_code_alpha3_A,country_code_alpha3_B
"('BR', 'AT')",138,BR,AT,0.9909411672125518,0.9822132504765824,0.986577208844567,BRA,AUT
"('MD', 'IS')",840,MD,IS,0.9768202388609107,0.9962085645558991,0.9865144017084049,MDA,ISL
"('BE', 'PL')",82,BE,PL,0.974516920815138,0.9983147187173127,0.9864158197662254,BEL,POL
"('NO', 'AT')",955,NO,AT,0.9748027847435708,0.9976134360392844,0.9862081103914276,NOR,AUT
"('FR', 'AT')",416,FR,AT,0.9740595010064222,0.9983428807460253,0.9862011908762238,FRA,AUT
"('AU', 'GR')",38,AU,GR,0.9755720137301636,0.9968066895168917,0.9861893516235276,AUS,GRC
"('HU', 'SK')",525,HU,SK,0.9764964255255234,0.995859698775569,0.9861780621505463,HUN,SVK
"('PL', 'GR')",1055,PL,GR,0.973412171224792,0.9988787032995161,0.9861454372621541,POL,GRC
"('IL', 'DZ')",566,IL,DZ,0.9736287142287512,0.9985370143475782,0.9860828642881647,ISR,DZA
"('NL', 'PL')",939,NL,PL,0.9764665050085222,0.9956795383516933,0.9860730216801077,NLD,POL
"('AU', 'IS')",44,AU,IS,0.9737099060773295,0.9984214734712292,0.9860656897742794,AUS,ISL
"('US', 'SK')",1392,US,SK,0.9734116515601458,0.9987161329709542,0.98606389226555,USA,SVK
"('PE', 'IL')",1029,PE,IL,0.978007699370619,0.9938054585584135,0.9859065789645163,PER,ISR
"('JP', 'SE')",654,JP,SE,0.9769658452766647,0.9947475427904118,0.9858566940335383,JPN,SWE
"('RO', 'HU')",1087,RO,HU,0.9823874407400671,0.9892940056453083,0.9858407231926878,ROU,HUN
"('MD', 'NO')",843,MD,NO,0.9795254608815571,0.9921270432435219,0.9858262520625395,MDA,NOR
"('LT', 'BR')",759,LT,BR,0.9899231914412271,0.9816070545336981,0.9857651229874627,LTU,BRA
"('RO', 'DK')",1081,RO,DK,0.9887904018997339,0.9827266517215959,0.9857585268106649,ROU,DNK
"('MX', 'DK')",861,MX,DK,0.9824415353941,0.9889967234618644,0.9857191294279821,MEX,DNK
"('NZ', 'NO')",1000,NZ,NO,0.973801336460382,0.9974465426149186,0.9856239395376503,NZL,NOR
"('HU', 'CZ')",505,HU,CZ,0.9756774594169345,0.9955698634742243,0.9856236614455793,HUN,CZE
"('SE', 'NZ')",1189,SE,NZ,0.9733705239803571,0.9978579825858127,0.9856142532830849,SWE,NZL
"('AU', 'RO')",59,AU,RO,0.9867269029706355,0.9844992798998893,0.9856130914352623,AUS,ROU
"('AU', 'PL')",57,AU,PL,0.9754608258513496,0.9956849318671211,0.9855728788592354,AUS,POL
"('IL', 'PL')",569,IL,PL,0.9745661772139654,0.9964773539094508,0.9855217655617081,ISR,POL
"('MD', 'CA')",832,MD,CA,0.9785500625250332,0.9924736245252578,0.9855118435251455,MDA,CAN
"('NZ', 'PT')",1002,NZ,PT,0.9713908248686747,0.9993702727753112,0.9853805488219929,NZL,PRT
"('IL', 'GR')",567,IL,GR,0.9730987765790499,0.9975991115592213,0.9853489440691356,ISR,GRC
"('CA', 'SC')",210,CA,SC,0.9753257231337304,0.995356128277353,0.9853409257055417,CAN,SYC
"('SK', 'IL')",1241,SK,IL,0.9719544690077018,0.9985540753352544,0.9852542721714781,SVK,ISR
"('ES', 'SK')",391,ES,SK,0.9712190588477122,0.9992355766023135,0.9852273177250128,ESP,SVK
"('FR', 'DZ')",425,FR,DZ,0.9707362685126965,0.9995176814328287,0.9851269749727626,FRA,DZA
"('ES', 'BR')",359,ES,BR,0.9880227827591679,0.9822178386256294,0.9851203106923987,ESP,BRA
"('SC', 'CR')",1161,SC,CR,0.9739190020840093,0.9962469814295587,0.985082991756784,SYC,CRI
"('SK', 'MD')",1246,SK,MD,0.9748178145684913,0.9952835406495442,0.9850506776090178,SVK,MDA
"('NL', 'BE')",910,NL,BE,0.9727167426141857,0.9973652805836682,0.985041011598927,NLD,BEL
"('MX', 'SC')",883,MX,SC,0.9766422206404288,0.9932577317595076,0.9849499761999683,MEX,SYC
"('JP', 'CR')",622,JP,CR,0.9742887475638136,0.9955735372534614,0.9849311424086375,JPN,CRI
"('NZ', 'CA')",981,NZ,CA,0.9720253532955084,0.9977931238966545,0.9849092385960815,NZL,CAN
"('RO', 'MD')",1095,RO,MD,0.9797603518790361,0.9898701637713332,0.9848152578251846,ROU,MDA
"('ES', 'CZ')",364,ES,CZ,0.9700584357162166,0.9995254119036593,0.984791923809938,ESP,CZE
"('JP', 'CA')",619,JP,CA,0.9748223498060851,0.9946826841012547,0.9847525169536699,JPN,CAN
"('PE', 'SK')",1046,PE,SK,0.9742007849336994,0.9952518441724456,0.9847263145530725,PER,SVK
"('SK', 'SC')",1254,SK,SC,0.9712315083934518,0.9981660444016383,0.984698776397545,SVK,SYC
"('DK', 'SC')",347,DK,SC,0.9736418971373543,0.9957394526516433,0.9846906748944988,DNK,SYC
"('LT', 'LU')",778,LT,LU,0.9706145660568251,0.9985328349747541,0.9845737005157895,LTU,LUX
"('FR', 'MD')",435,FR,MD,0.9760837652161557,0.9928564879502627,0.9844701265832092,FRA,MDA
"('CO', 'SK')",318,CO,SK,0.9740245674849698,0.9947898189453149,0.9844071932151424,COL,SVK
"('AU', 'BR')",27,AU,BR,0.9864810689574038,0.9823287594009,0.984404914179152,AUS,BRA
"('JP', 'NO')",644,JP,NO,0.9744397677819807,0.9943361028195187,0.9843879353007496,JPN,NOR
"('FI', 'IS')",406,FI,IS,0.9703985557074792,0.9982633200396884,0.9843309378735838,FIN,ISL
"('AU', 'DZ')",34,AU,DZ,0.9708073814009163,0.9977445923052486,0.9842759868530824,AUS,DZA
"('PT', 'IL')",1066,PT,IL,0.9687432973958883,0.9997868425808852,0.9842650699883868,PRT,ISR
"('NL', 'BR')",911,NL,BR,0.9860920799022838,0.9823341529163279,0.9842131164093058,NLD,BRA
"('JP', 'CZ')",623,JP,CZ,0.9711918153369665,0.9972027649241952,0.9841972901305809,JPN,CZE
"('LT', 'FR')",769,LT,FR,0.9694139582730853,0.9989490766889094,0.9841815174809974,LTU,FRA
"('NL', 'DZ')",918,NL,DZ,0.9704932824729992,0.9977391987898208,0.9841162406314099,NLD,DZA
"('US', 'FR')",1363,US,FR,0.9719195707949287,0.9962890802716716,0.9841043255333002,USA,FRA
"('KE', 'SK')",698,KE,SK,0.9803255072876527,0.987807252266427,0.9840663797770398,KEN,SVK
"('US', 'LU')",1375,US,LU,0.972234467164955,0.9958728385575163,0.9840536528612356,USA,LUX
"('NL', 'PT')",940,NL,PT,0.9684893029839662,0.9994162637599304,0.9839527833719484,NLD,PRT
"('NO', 'IS')",966,NO,IS,0.9717623355923894,0.9959189396369094,0.9838406376146493,NOR,ISL
"('NL', 'GR')",922,NL,GR,0.9708573321021555,0.9968012960014637,0.9838293140518096,NLD,GRC
"('MX', 'CZ')",860,MX,CZ,0.9765031630172575,0.9911334799105146,0.983818321463886,MEX,CZE
"('CO', 'CZ')",283,CO,CZ,0.9728861012535434,0.9944999836439692,0.9836930424487562,COL,CZE
"('FI', 'IL')",405,FI,IL,0.9680136568672236,0.9993661923384978,0.9836899246028608,FIN,ISR
"('PE', 'CZ')",1021,PE,CZ,0.9723658577272781,0.9949620088710999,0.983663933299189,PER,CZE
"('AT', 'GR')",22,AT,GR,0.9703293442097849,0.9969221984412103,0.9836257713254977,AUT,GRC
"('LT', 'PT')",786,LT,PT,0.9668592838229063,0.999857559756012,0.9833584217894591,LTU,PRT
"('MX', 'PT')",879,MX,PT,0.9763348702994282,0.9901905479662295,0.9832627091328289,MEX,PRT
"('SK', 'CA')",1232,SK,CA,0.9692742269173522,0.9971905448250002,0.9832323858711762,SVK,CAN
"('HU', 'BE')",499,HU,BE,0.9738506318932582,0.992575948353676,0.9832132901234671,HUN,BEL
"('SK', 'DK')",1237,SK,DK,0.9687532653122948,0.9975738691992906,0.9831635672557927,SVK,DNK
"('LU', 'AT')",801,LU,AT,0.9681907385144125,0.99792663903187,0.9830586887731412,LUX,AUT
"('PL', 'AT')",1051,PL,AT,0.9702429897835506,0.9958004407914388,0.9830217152874947,POL,AUT
"('LU', 'MD')",815,LU,MD,0.9735914648590966,0.9924402462361074,0.9830158555476021,LUX,MDA
"('HU', 'PL')",518,HU,PL,0.9751333611361144,0.9908902061217022,0.9830117836289083,HUN,POL
"('BE', 'DZ')",77,BE,DZ,0.9661474931624906,0.999626542743133,0.9828870179528117,BEL,DZA
"('AU', 'CR')",31,AU,CR,0.9666194848824842,0.9987353615489095,0.9826774232156968,AUS,CRI
"('KE', 'DK')",671,KE,DK,0.9798823926120936,0.985380660516431,0.9826315265642623,KEN,DNK
"('ES', 'PL')",383,ES,PL,0.9692091071970016,0.9957958526423918,0.9825024799196966,ESP,POL
"('LT', 'PL')",785,LT,PL,0.9685571186186399,0.9964066367343242,0.9824818776764821,LTU,POL
"('MD', 'CR')",833,MD,CR,0.97150336095446,0.9933644776774646,0.9824339193159624,MDA,CRI
"('JP', 'FR')",628,JP,FR,0.9696031583808432,0.9950655475262585,0.9823343529535509,JPN,FRA
"('ES', 'FI')",367,ES,FI,0.964650263129438,0.9999532282930164,0.9823017457112272,ESP,FIN
"('MX', 'NO')",875,MX,NO,0.9763168852087879,0.9882668178058369,0.9822918515073125,MEX,NOR
"('RO', 'KE')",1092,RO,KE,0.9671242178535114,0.9973464521544504,0.982235335003981,ROU,KEN
"('US', 'PL')",1383,US,PL,0.9706247521457056,0.9937466403170863,0.982185696231396,USA,POL
"('NL', 'FI')",920,NL,FI,0.9644694499607096,0.9998369140023179,0.9821531819815137,NLD,FIN
"('CZ', 'SC')",335,CZ,SC,0.9663349864134477,0.9978762091002936,0.9821055977568707,CZE,SYC
"('ES', 'CR')",363,ES,CR,0.9653036341301418,0.99884628232418,0.9820749582271608,ESP,CRI
"('ZA', 'MY')",1472,ZA,MY,0.9693913173469494,0.9947294314851725,0.982060374416061,ZAF,MYS
"('FI', 'CZ')",401,FI,CZ,0.9645753902022262,0.9994781792473891,0.9820267847248076,FIN,CZE
"('NZ', 'LU')",997,NZ,LU,0.9661006366083763,0.9977597456075041,0.9819301911079402,NZL,LUX
"('HU', 'GR')",509,HU,GR,0.9715897791768163,0.9920119637714726,0.9818008714741444,HUN,GRC
"('CO', 'DK')",284,CO,DK,0.9711349826856784,0.992363227195319,0.9817491049404987,COL,DNK
"('NZ', 'FR')",989,NZ,FR,0.9652237305316687,0.9981759873216595,0.9816998589266641,NZL,FRA
"('NL', 'RO')",941,NL,RO,0.9787717547218241,0.9845046734153172,0.9816382140685707,NLD,ROU
"('BE', 'AT')",72,BE,AT,0.9656379718042156,0.9974861830234137,0.9815620774138147,BEL,AUT
"('ES', 'DZ')",366,ES,DZ,0.9652265458670594,0.9978555130805192,0.9815410294737893,ESP,DZA
"('RO', 'IL')",1089,RO,IL,0.9793333494582172,0.9837068578575586,0.9815201036578879,ROU,ISR
"('RO', 'ES')",1083,RO,ES,0.9785942533506907,0.9843883591246188,0.9814913062376547,ROU,ESP
"('MY', 'PT')",903,MY,PT,0.967437395865991,0.9955341357711567,0.9814857658185738,MYS,PRT
"('SE', 'SC')",1195,SE,SC,0.9673665343386918,0.99542098696651,0.9813937606526009,SWE,SYC
"('ES', 'BE')",358,ES,BE,0.9652910090719115,0.9974815948743667,0.981386301973139,ESP,BEL
"('KE', 'CR')",669,KE,CR,0.9767852787921066,0.9858881892943474,0.9813367340432271,KEN,CRI
"('CZ', 'AT')",326,CZ,AT,0.9631264921350895,0.9995208237546112,0.9813236579448503,CZE,AUT
"('JP', 'LU')",639,JP,LU,0.9676263199283722,0.9946493058121032,0.9811378128702377,JPN,LUX
"('DZ', 'GR')",352,DZ,GR,0.9631381189074576,0.9990625581609296,0.9811003385341937,DZA,GRC
"('DK', 'CZ')",340,DK,CZ,0.9642251520865108,0.9978637045006364,0.9810444282935736,DNK,CZE
"('SK', 'IS')",1243,SK,IS,0.9630041426580725,0.9990754370429317,0.9810397898505021,SVK,ISL
"('BR', 'CR')",139,BR,CR,0.9809244040211191,0.9810636600005229,0.980994032010821,BRA,CRI
"('FI', 'PT')",410,FI,PT,0.9623994558288842,0.999579810706899,0.9809896332678916,FIN,PRT
"('NZ', 'PL')",1001,NZ,PL,0.9661587837307191,0.9956335473670741,0.9808961655488966,NZL,POL
"('HU', 'DZ')",507,HU,DZ,0.9686884237992098,0.9929498665598296,0.9808191451795197,HUN,DZA
"('IS', 'BR')",601,IS,BR,0.9777028427151375,0.9839077468789574,0.9808052947970475,ISL,BRA
"('BR', 'SC')",143,BR,SC,0.9767893995377523,0.9848171395202509,0.9808032695290017,BRA,SYC
"('NO', 'SC')",974,NO,SC,0.9664241247166103,0.995009546995616,0.9807168358561131,NOR,SYC
"('SE', 'SK')",1197,SE,SK,0.9639983854477232,0.9972554035141573,0.9806268944809402,SWE,SVK
"('MX', 'SK')",886,MX,SK,0.9697879120329446,0.9914233152118592,0.980605613622402,MEX,SVK
"('HU', 'CR')",504,HU,CR,0.967115831879471,0.9939406358034895,0.9805282338414802,HUN,CRI
"('MX', 'SE')",884,MX,SE,0.9723364458162407,0.988678257776731,0.9805073517964858,MEX,SWE
"('MX', 'CA')",856,MX,CA,0.9723969419874744,0.988613399087574,0.9805051705375242,MEX,CAN
"('JP', 'PL')",647,JP,PL,0.9683985358979695,0.9925231075716732,0.9804608217348214,JPN,POL
"('FR', 'SK')",445,FR,SK,0.9632488664634581,0.9975734082500051,0.9804111373567316,FRA,SVK
"('MD', 'CZ')",834,MD,CZ,0.9658189023088248,0.9949937053481995,0.9804063038285122,MDA,CZE
"('SK', 'NO')",1248,SK,NO,0.9639318418271684,0.9968439635432642,0.9803879026852163,SVK,NOR
"('RO', 'AT')",1073,RO,AT,0.9762147237496924,0.9843837709755706,0.9802992473626315,ROU,AUT
"('US', 'DZ')",1360,US,DZ,0.9646864024332005,0.9958063007552137,0.980246351594207,USA,DZA
"('AU', 'CZ')",32,AU,CZ,0.9607744314145796,0.9996363326789298,0.9802053820467547,AUS,CZE
"('IL', 'BR')",564,IL,BR,0.9787919917015341,0.9815363373585704,0.9801641645300523,ISR,BRA
"('SE', 'IS')",1183,SE,IS,0.9639223357673848,0.9963303796078025,0.9801263576875936,SWE,ISL
"('RO', 'BR')",1075,RO,BR,0.9622810958000154,0.9978299404502984,0.9800555181251569,ROU,BRA
"('PE', 'DK')",1022,PE,DK,0.9671518501966904,0.9928252524224497,0.9799885513095701,PER,DNK
"('JP', 'RO')",649,JP,RO,0.9723102269061067,0.9876611041953364,0.9799856655507215,JPN,ROU
"('US', 'RO')",1385,US,RO,0.973380499281873,0.9864375714499242,0.9799090353658986,USA,ROU
"('KE', 'CZ')",670,KE,CZ,0.9722638352202713,0.9875174169650822,0.9798906260926767,KEN,CZE
"('KE', 'CA')",666,KE,CA,0.9747782867967554,0.9849973361421406,0.979887811469448,KEN,CAN
"('RO', 'MX')",1096,RO,MX,0.9656971042493717,0.9937303892090181,0.979713746729195,ROU,MEX
"('CO', 'CA')",279,CO,CA,0.9670169934915761,0.9919799028210285,0.9794984481563023,COL,CAN
"('US', 'BE')",1350,US,BE,0.963522837505985,0.9954323825490602,0.9794776100275226,USA,BEL
"('LT', 'DZ')",766,LT,DZ,0.9604410020119779,0.9984662971724516,0.9794536495922148,LTU,DZA
"('LT', 'BE')",758,LT,BE,0.9607786844163109,0.998092378966298,0.9794355316913044,LTU,BEL
"('NL', 'CR')",915,NL,CR,0.9600989578059697,0.9987299680334816,0.9794144629197257,NLD,CRI
"('MD', 'PL')",844,MD,PL,0.9685006956692875,0.9903140479956773,0.9794073718324825,MDA,POL
"('FR', 'SC')",443,FR,SC,0.9626991075432436,0.9957389917023568,0.9792190496228002,FRA,SYC
"('LU', 'IS')",813,LU,IS,0.962088070863286,0.9962321426294938,0.9791601067463899,LUX,ISL
"('FI', 'DK')",402,FI,DK,0.9597889334457136,0.9983859862025339,0.9790874598241237,FIN,DNK
"('SC', 'GR')",1162,SC,GR,0.9635779414978106,0.9943183093975418,0.9789481254476762,SYC,GRC
"('US', 'GR')",1364,US,GR,0.9628033161476823,0.9948683979668568,0.9788358570572695,USA,GRC
"('ES', 'PT')",384,ES,PT,0.9581385799498203,0.9995325780506289,0.9788355790002246,ESP,PRT
"('KE', 'NO')",687,KE,NO,0.9730069936575249,0.9846507548604045,0.9788288742589647,KEN,NOR
"('SK', 'BR')",1231,SK,BR,0.9746427173990445,0.9829827229726025,0.9788127201858234,SVK,BRA
"('ZA', 'CZ')",1460,ZA,CZ,0.959318715135435,0.9982528247190184,0.9787857699272267,ZAF,CZE
"('LT', 'GR')",770,LT,GR,0.9598287923190336,0.9975283943840946,0.978678593351564,LTU,GRC
"('KE', 'SE')",696,KE,SE,0.9721912613555717,0.9850621948312976,0.9786267280934347,KEN,SWE
"('MX', 'LU')",872,MX,LU,0.9684466196930749,0.9885800207984224,0.9785133202457487,MEX,LUX
"('ES', 'GR')",369,ES,GR,0.9600749791987858,0.9969176102921622,0.9784962947454741,ESP,GRC
"('CA', 'IS')",203,CA,IS,0.9606235327332001,0.9962655209186453,0.9784445268259228,CAN,ISL
"('MD', 'BE')",830,MD,BE,0.9648490051059151,0.9919997902276512,0.9784243976667831,MDA,BEL
"('LU', 'SC')",823,LU,SC,0.9611719090048936,0.9953227499882015,0.9782473294965475,LUX,SYC
"('NZ', 'DZ')",987,NZ,DZ,0.9586430662427721,0.9976932078052015,0.9781681370239868,NZL,DZA
"('PE', 'CA')",1017,PE,CA,0.9637998578391778,0.9924419280481592,0.9781208929436684,PER,CAN
"('RO', 'PL')",1101,RO,PL,0.9759150769102035,0.9801837508177239,0.9780494138639637,ROU,POL
"('MX', 'FR')",864,MX,FR,0.966937617746226,0.9889962625125778,0.9779669401294019,MEX,FRA
"('NZ', 'FI')",988,NZ,FI,0.956136274344521,0.9997909230176988,0.9779635986811099,NZL,FIN
"('SK', 'LU')",1245,SK,LU,0.9585286729524922,0.9971571665358497,0.9778429197441709,SVK,LUX
"('HU', 'PT')",519,HU,PT,0.9610382122803233,0.9946269315299393,0.9778325719051313,HUN,PRT
"('PL', 'SC')",1058,PL,SC,0.962136561977367,0.9931965517477714,0.9776665568625692,POL,SYC
"('US', 'PT')",1384,US,PT,0.9578423242006799,0.9974833657253235,0.9776628449630017,USA,PRT
"('JP', 'PT')",648,JP,PT,0.9590624942853381,0.9962598329799103,0.9776611636326242,JPN,PRT
"('NO', 'FI')",963,NO,FI,0.957508888005738,0.9976560805465065,0.9775824842761223,NOR,FIN
"('CO', 'SE')",316,CO,SE,0.962743665048392,0.9920447615101857,0.9773942132792889,COL,SWE
"('HU', 'FI')",508,HU,FI,0.9596498759610785,0.9950475817723268,0.9773487288667027,HUN,FIN
"('CO', 'PT')",310,CO,PT,0.9610844825050113,0.9935570516996842,0.9773207671023478,COL,PRT
"('LT', 'RO')",787,LT,RO,0.9707525275204261,0.9837775750326864,0.9772650512765562,LTU,ROU
"('CO', 'NO')",306,CO,NO,0.9625781212527135,0.9916333215392926,0.977105721396003,COL,NOR
"('ZA', 'IS')",1468,ZA,IS,0.9570136321506135,0.9970379655113178,0.9770257988309656,ZAF,ISL
"('SK', 'GR')",1240,SK,GR,0.9576050903729812,0.9961527259451902,0.9768789081590857,SVK,GRC
"('MD', 'DZ')",836,MD,DZ,0.9613688129440597,0.9923737084338048,0.9768712606889323,MDA,DZA
"('PL', 'DZ')",1054,PL,DZ,0.9556818703498426,0.9979408005111592,0.9768113354305009,POL,DZA
"('LT', 'FI')",768,LT,FI,0.9541410455218615,0.9994369095136244,0.976788977517743,LTU,FIN
"('IS', 'DZ')",605,IS,DZ,0.9572579257421923,0.9961656048271912,0.9767117652846917,ISL,DZA
"('BE', 'SC')",85,BE,SC,0.9584874215702088,0.9948822939797453,0.976684857774977,BEL,SYC
"('DZ', 'AT')",349,DZ,AT,0.9554997407185918,0.9978601012295674,0.9766799209740795,DZA,AUT
"('NO', 'CZ')",960,NO,CZ,0.9561467891814075,0.997133798844609,0.9766402940130082,NOR,CZE
"('JP', 'BE')",617,JP,BE,0.9590277322511539,0.9942088498036481,0.976618291027401,JPN,BEL
"('MD', 'GR')",838,MD,GR,0.9617615405548214,0.9914358056454478,0.9765986731001346,MDA,GRC
"('RS', 'FI')",1122,RS,FI,0.956409990281808,0.9961472855016272,0.9762786378917176,SRB,FIN
"('NZ', 'BE')",979,NZ,BE,0.9552331932413772,0.997319289599048,0.9762762414202126,NZL,BEL
"('MX', 'PL')",878,MX,PL,0.9659588351250308,0.9864538225579924,0.9762063288415116,MEX,POL
"('RO', 'NZ')",1099,RO,NZ,0.9675074050452401,0.9845506643999364,0.9760290347225883,ROU,NZL
"('SK', 'BE')",1230,SK,BE,0.9550273488773142,0.9967167105273936,0.975872029702354,SVK,BEL
"('KE', 'FR')",675,KE,FR,0.9663420427590921,0.9853801995671444,0.9758611211631183,KEN,FRA
"('JP', 'GR')",629,JP,GR,0.9580055734622354,0.9936448652214436,0.9758252193418395,JPN,GRC
"('JP', 'DZ')",625,JP,DZ,0.9569238913997503,0.9945827680098006,0.9757533297047755,JPN,DZA
"('RO', 'SC')",1106,RO,SC,0.9644011674223849,0.9869876600192391,0.975694413720812,ROU,SYC
"('IS', 'PL')",609,IS,PL,0.9572464005405886,0.9941059443890637,0.9756761724648262,ISL,POL
"('PE', 'PT')",1039,PE,PT,0.9573202255422688,0.9940190769268148,0.9756696512345417,PER,PRT
"('CZ', 'BR')",327,CZ,BR,0.9682814949532476,0.9826928876712578,0.9754871913122527,CZE,BRA
"('FR', 'IS')",432,FR,IS,0.9543041091183743,0.9966483843436491,0.9754762467310116,FRA,ISL
"('RO', 'DZ')",1082,RO,DZ,0.9686994331360848,0.9822434112558514,0.975471422195968,ROU,DZA
"('PE', 'SE')",1044,PE,SE,0.9584327529607781,0.9925067867373163,0.9754697698490472,PER,SWE
"('KE', 'LU')",683,KE,LU,0.965869032119715,0.9849639578529891,0.975416494986352,KEN,LUX
"('KE', 'PT')",691,KE,PT,0.9642252386622084,0.9865744850207973,0.9753998618415028,KEN,PRT
"('PE', 'NO')",1036,PE,NO,0.9586135974911206,0.9920953467664233,0.9753544721287719,PER,NOR
"('NZ', 'GR')",990,NZ,GR,0.9537559466168277,0.9967553050168446,0.9752556258168361,NZL,GRC
"('CZ', 'CR')",328,CZ,CR,0.9520331692640648,0.9983712332785517,0.9752022012713082,CZE,CRI
"('RO', 'SK')",1109,RO,SK,0.9648336201952367,0.9851532434715907,0.9749934318334137,ROU,SVK
"('SK', 'CR')",1235,SK,CR,0.9517799879278895,0.998081397977207,0.9749306929525483,SVK,CRI
"('CO', 'PL')",309,CO,PL,0.9599730767101265,0.9898203262914471,0.9748967015007868,COL,POL
"('KE', 'PL')",690,KE,PL,0.9668041095421713,0.982837759612559,0.9748209345773652,KEN,POL
"('US', 'FI')",1362,US,FI,0.951413932744606,0.997904015967711,0.9746589743561584,USA,FIN
"('DK', 'BR')",338,DK,BR,0.9684844509043035,0.9805561312226065,0.974520291063455,DNK,BRA
"('MX', 'DZ')",862,MX,DZ,0.9600622326176501,0.9885134829961199,0.974287857806885,MEX,DZA
"('MX', 'CR')",859,MX,CR,0.9589329562404235,0.9895042522397797,0.9742186042401015,MEX,CRI
"('IS', 'CR')",602,IS,CR,0.9509038724315144,0.9971563740708521,0.9740301232511832,ISL,CRI
"('CO', 'RO')",311,CO,RO,0.9574208851174483,0.9903638854755634,0.9738923852965058,COL,ROU
"('PE', 'PL')",1038,PE,PL,0.9574626169100278,0.9902823515185777,0.9738724842143027,PER,POL
"('MD', 'FI')",837,MD,FI,0.9532336367105185,0.994471423646302,0.9738525301784102,MDA,FIN
"('CO', 'FR')",288,CO,FR,0.9553395325161064,0.9923627662460324,0.9738511493810693,COL,FRA
"('SK', 'CZ')",1236,SK,CZ,0.9475366493135631,0.9997106256479419,0.9736236374807525,SVK,CZE
"('PT', 'DK')",1063,PT,DK,0.9484247312048534,0.9988066364449214,0.9736156838248874,PRT,DNK
"('IL', 'CR')",565,IL,CR,0.947377247395101,0.9995277835912392,0.9734525154931701,ISR,CRI
"('CO', 'LU')",301,CO,LU,0.9548982444029115,0.991946524531877,0.9734223844673943,COL,LUX
"('NZ', 'ZA')",1012,NZ,ZA,0.9478780260852485,0.9985655684893271,0.9732217972872879,NZL,ZAF
"('MD', 'PT')",845,MD,PT,0.951894583409881,0.9940507734039145,0.9729726784068977,MDA,PRT
"('MX', 'FI')",863,MX,FI,0.9553262030464701,0.9906111982086171,0.9729687006275436,MEX,FIN
"('DZ', 'SC')",355,DZ,SC,0.9505910796414644,0.9952562121858989,0.9729236459136816,DZA,SYC
"('SE', 'CZ')",1173,SE,CZ,0.9471252720920764,0.997545238815503,0.9723352554537897,SWE,CZE
"('MX', 'BE')",854,MX,BE,0.9564688909234387,0.9881395647899662,0.9723042278567025,MEX,BEL
"('CA', 'BR')",195,CA,BR,0.9643426357115725,0.9801728068483161,0.9722577212799444,CAN,BRA
"('PE', 'FR')",1025,PE,FR,0.9516482379660127,0.992824791473163,0.9722365147195879,PER,FRA
"('RO', 'PE')",1100,RO,PE,0.9545068258590172,0.9899018602484329,0.972204343053725,ROU,PER
"('MX', 'GR')",865,MX,GR,0.9568143453023047,0.9875755802077629,0.9721949627550338,MEX,GRC
"('MY', 'IS')",900,MY,IS,0.9463617100676329,0.9976919269231412,0.9720268184953871,MYS,ISL
"('LT', 'ZA')",799,LT,ZA,0.9446169212182522,0.999338657856577,0.9719777895374146,LTU,ZAF
"('SE', 'FI')",1176,SE,FI,0.94579239909468,0.9980675205174006,0.9719299598060402,SWE,FIN
"('LU', 'FI')",809,LU,FI,0.9456826282932631,0.997969283539092,0.9718259559161775,LUX,FIN
"('SE', 'BR')",1168,SE,BR,0.9633722306922866,0.9802376655374733,0.9718049481148799,SWE,BRA
"('JP', 'FI')",627,JP,FI,0.9465870457208831,0.9966804832222989,0.971633764471591,JPN,FIN
"('PE', 'LU')",1033,PE,LU,0.9506555603900133,0.9924085497590077,0.9715320550745106,PER,LUX
"('AU', 'PT')",58,AU,PT,0.9434920170390787,0.9994216572753584,0.9714568371572185,AUS,PRT
"('NO', 'BR')",957,NO,BR,0.963074311048618,0.9798262255665802,0.9714502683075991,NOR,BRA
"('KE', 'GR')",676,KE,GR,0.9589099799440927,0.9839595172623296,0.9714347486032111,KEN,GRC
"('PT', 'AT')",1059,PT,AT,0.9431111583104683,0.999537166199677,0.9713241622550727,PRT,AUT
"('SK', 'DZ')",1238,SK,DZ,0.9453313614019466,0.9970906287335471,0.9712109950677469,SVK,DZA
"('AU', 'FI')",36,AU,FI,0.942495692822421,0.9998423075177458,0.9711690001700835,AUS,FIN
"('LU', 'CZ')",806,LU,CZ,0.9448035417748047,0.9974470018371945,0.9711252718059996,LUX,CZE
"('PT', 'SC')",1070,PT,SC,0.9451460817599308,0.9969332771560085,0.9710396794579697,PRT,SYC
"('MY', 'CZ')",895,MY,CZ,0.9454987370510766,0.9964770677154416,0.970987902383259,MYS,CZE
"('KE', 'BE')",664,KE,BE,0.9572495719162808,0.984523501844534,0.9708865368804074,KEN,BEL
"('KE', 'DZ')",672,KE,DZ,0.9561845065672071,0.9848974200506876,0.9705409633089473,KEN,DZA
"('BE', 'IS')",80,BE,IS,0.9449943022952498,0.9957916866210387,0.9703929944581442,BEL,ISL
"('CO', 'GR')",289,CO,GR,0.9496017121432281,0.9909420839412175,0.9702718980422228,COL,GRC
"('MX', 'ZA')",890,MX,ZA,0.9508088138243499,0.9893858436802464,0.9700973287522981,MEX,ZAF
